home_ownership,last_pymnt_d,total_payment
RENT,2016-05-01,691.92
MORTGAGE,2016-05-01,563.91
RENT,2016-04-01,4210.77
OWN,2016-04-01,110.15
MORTGAGE,2016-04-01,5113.21
RENT,2016-03-01,12140.19
OWN,2016-03-01,1513.65
MORTGAGE,2016-03-01,21944.86
RENT,2016-02-01,11052.03
OWN,2016-02-01,4845.41
MORTGAGE,2016-02-01,18322.93
RENT,2016-01-01,12095.26
OWN,2016-01-01,3063.2
MORTGAGE,2016-01-01,19132.18
RENT,2015-12-01,15615.49
OWN,2015-12-01,1434.06
MORTGAGE,2015-12-01,20887.67
RENT,2015-11-01,18729.81
OWN,2015-11-01,3032.1
MORTGAGE,2015-11-01,34349.17
RENT,2015-10-01,27247.07
OWN,2015-10-01,1756.05
MORTGAGE,2015-10-01,23507.09
RENT,2015-09-01,39750.15
OWN,2015-09-01,3149.81
MORTGAGE,2015-09-01,31986.18
RENT,2015-08-01,33746.53
OWN,2015-08-01,3557.43
MORTGAGE,2015-08-01,35545.85
RENT,2015-07-01,33515.12
OWN,2015-07-01,2615.96
OTHER,2015-07-01,564.1
MORTGAGE,2015-07-01,46440.45
RENT,2015-06-01,42037.02
OWN,2015-06-01,4622.91
MORTGAGE,2015-06-01,39502.88
RENT,2015-05-01,48965.31
MORTGAGE,2015-05-01,34340.25
RENT,2015-04-01,26333.38
OWN,2015-04-01,4502.26
MORTGAGE,2015-04-01,46819.92
RENT,2015-03-01,64863.75
OWN,2015-03-01,13053.47
MORTGAGE,2015-03-01,76691.03
RENT,2015-02-01,79082.83
OWN,2015-02-01,11211.77
MORTGAGE,2015-02-01,74864.3
RENT,2015-01-01,70263.64
OWN,2015-01-01,15491.69
MORTGAGE,2015-01-01,116236.19
RENT,2014-12-01,26320.55
OWN,2014-12-01,461.99
MORTGAGE,2014-12-01,53365.6
RENT,2014-11-01,59648.54
MORTGAGE,2014-11-01,134029.4
RENT,2014-10-01,93157.55
OWN,2014-10-01,29476.61
MORTGAGE,2014-10-01,114348.99
RENT,2014-09-01,49684.35
OWN,2014-09-01,18300.16
MORTGAGE,2014-09-01,115299.74
RENT,2014-08-01,90483.51
OWN,2014-08-01,4050.36
MORTGAGE,2014-08-01,109219.93
RENT,2014-07-01,86162.07
OWN,2014-07-01,12718.68
MORTGAGE,2014-07-01,198605.84
RENT,2014-06-01,32477.68
OWN,2014-06-01,2317.89
MORTGAGE,2014-06-01,141885.53
RENT,2014-05-01,65776.85
OWN,2014-05-01,783.32
MORTGAGE,2014-05-01,109627.61
RENT,2014-04-01,121227.94
OWN,2014-04-01,6320.02
MORTGAGE,2014-04-01,159113.92
RENT,2014-03-01,182289.38
OWN,2014-03-01,31524.82
MORTGAGE,2014-03-01,268379.75
RENT,2014-02-01,135319.82
OWN,2014-02-01,9423.25
MORTGAGE,2014-02-01,211685.4
RENT,2014-01-01,127009.76
OWN,2014-01-01,22696.46
MORTGAGE,2014-01-01,280329.46
RENT,2013-12-01,154203.05
OWN,2013-12-01,14950.84
MORTGAGE,2013-12-01,205272.62
RENT,2013-11-01,127623.03
OWN,2013-11-01,29508.99
MORTGAGE,2013-11-01,221009.22
RENT,2013-10-01,169551.73
OWN,2013-10-01,36303.69
MORTGAGE,2013-10-01,231995.6
RENT,2013-09-01,195740.03
OWN,2013-09-01,9410.76
MORTGAGE,2013-09-01,257205.83
RENT,2013-08-01,255726.19
OWN,2013-08-01,37973.52
MORTGAGE,2013-08-01,252085.47
RENT,2013-07-01,213339.14
OWN,2013-07-01,47670.67
MORTGAGE,2013-07-01,279400.51
RENT,2013-06-01,199614.89
OWN,2013-06-01,9537.22
MORTGAGE,2013-06-01,292740.44
RENT,2013-05-01,295780.93
OWN,2013-05-01,40536.3
MORTGAGE,2013-05-01,481794.58
RENT,2013-04-01,287182.81
OWN,2013-04-01,48279.62
MORTGAGE,2013-04-01,405341.73
RENT,2013-03-01,411938.08
OWN,2013-03-01,52564.32
MORTGAGE,2013-03-01,637239.38
RENT,2013-02-01,340572.7
OWN,2013-02-01,65909.2
MORTGAGE,2013-02-01,477832.63
RENT,2013-01-01,315137.12
OWN,2013-01-01,55570.39
MORTGAGE,2013-01-01,532162.57
RENT,2012-12-01,415000.75
OWN,2012-12-01,38426.8
OTHER,2012-12-01,451.47
MORTGAGE,2012-12-01,295348.45
RENT,2012-11-01,360327.25
OWN,2012-11-01,27210.11
OTHER,2012-11-01,251.38
MORTGAGE,2012-11-01,323506.59
RENT,2012-10-01,412239.66
OWN,2012-10-01,42258.3
OTHER,2012-10-01,917.08
MORTGAGE,2012-10-01,421500.17
